citizen_id,first_name,surname,date_of_birth,age,gender,indigenous_status,household_id,years_in_pandanus_reach,education_level,employment_sector,occupation,annual_income_aud,social_credit_score,tier,curfew_window,vehicle_owned,mobile_id,biometric_template_hash,registration_date
PR-00779,Alexandra,Barnes,1964-07-24,61,X,Y,HH-01134,28,Certificate III,Retail,Bottleshop Attendant,40663.0,484,D,18:00-07:00 (strict),Y,0455656032,2788bd72eb93e442,2013-06-05
PR-00780,Brianna,Chang,1971-01-14,55,X,N,HH-00781,9,Bachelor,Unemployed,Unemployed,17205.0,647,C,20:00-06:00,N,0449448235,d992219ea2f317f0,2024-04-20
PR-00781,Anna,Garcia,1981-09-23,44,X,N,HH-00446,16,Certificate III,Government,Regional Admin Field Officer,75872.0,519,C,20:00-06:00,Y,0483549599,d2420c703096f655,2018-11-07
PR-00782,Gregg,Jenkins,2008-07-28,17,M,N,HH-00748,3,Certificate III,Student,Student,17730.0,744,B,21:00-06:00,N,0439390348,aa6ec6358e250018,2018-02-24
PR-00783,Lee,Johnson,1995-03-15,31,M,N,HH-00408,0,Year 10,Indigenous Services,Land Council Liaison,69371.0,735,B,21:00-06:00,Y,0412788232,25c1b1da8043a3a1,2013-05-14
PR-00784,Charlotte,Steele,1983-11-06,42,X,N,HH-00690,6,No formal,Health,Pharmacist,130639.0,820,B,21:00-06:00,Y,0434972287,d322e0daba7fdaa5,2023-10-22
PR-00785,Martin,Young,2009-09-10,16,X,N,HH-00261,0,Diploma,Student,Student,12527.0,595,C,20:00-06:00,N,0458851081,d9c1d97f5faefd2a,2024-03-30
PR-00786,Stephanie,Smith,1990-12-01,35,F,N,HH-01037,0,Year 12,Unemployed,Unemployed,13959.0,524,C,20:00-06:00,Y,0428051318,65df1936ec14403d,2015-08-06
PR-00787,Diana,Vasquez,1999-07-13,26,F,Y,HH-00518,14,Diploma,Mining,Process Plant Technician,164690.0,444,D,18:00-07:00 (strict),Y,0424067040,081254bad461a956,2012-09-23
PR-00788,Misty,Taylor,1991-03-15,35,X,N,HH-00913,24,No formal,Retail,Bottleshop Attendant,49500.0,548,C,20:00-06:00,N,0440059912,a9153c5a87f89d30,2017-07-22
PR-00789,Roger,Adams,1992-02-22,34,M,N,HH-00328,2,Certificate III,Mining,Process Plant Technician,159832.0,776,B,21:00-06:00,Y,0418678217,824ded2497ca6860,2020-05-22
PR-00790,Cole,Lewis,1982-06-30,44,M,N,HH-00806,2,Bachelor,Hospitality,Roadhouse Attendant,69545.0,482,D,18:00-07:00 (strict),Y,0429848134,fab042284d334dff,2021-09-22
PR-00791,Olivia,Camacho,1991-07-25,34,F,N,HH-00653,19,Certificate IV,Student,Student,12445.0,692,C,20:00-06:00,N,0413701318,1f7ab5447644fd90,2018-07-26
PR-00792,Erik,Collins,1989-10-31,36,X,N,HH-00645,3,No formal,Public Safety,Correctional Officer,86183.0,815,B,21:00-06:00,Y,0470681408,3ea64855773c1989,2013-04-02
PR-00793,Sarah,Suarez,2001-10-04,24,F,N,HH-00657,19,Certificate IV,Government,Regional Admin Field Officer,93441.0,558,C,20:00-06:00,N,0464645674,9919379e1645b413,2014-01-19
PR-00794,Ross,Hood,1977-10-09,48,M,N,HH-00177,12,No formal,Trades,Diesel Mechanic,119840.0,705,B,21:00-06:00,Y,0458096857,30598964dd47f8a1,2017-09-28
PR-00795,Samantha,Bush,1986-05-10,40,X,N,HH-00465,18,Certificate III,Mining,FIFO Drill Operator,133611.0,692,C,20:00-06:00,Y,0436121315,0f554efe4ea664ce,2022-11-18
PR-00796,Jonathan,Reid,2004-09-01,21,M,N,HH-00204,15,Year 10,Student,Student,11431.0,502,C,20:00-06:00,N,0426039031,257d90a15d00f379,2011-10-13
PR-00797,Jacqueline,Wheeler,1997-05-23,29,F,Y,HH-00621,6,Certificate III,Retail,Bottleshop Attendant,44618.0,336,D,18:00-07:00 (strict),Y,0473673905,9d0078eda6e0a270,2023-07-16
PR-00798,Kevin,Bailey,1984-01-17,42,M,Y,HH-00310,9,Bachelor,Mining,Mine Safety Officer,135278.0,478,D,18:00-07:00 (strict),Y,0434772080,080990edc4382a1f,2023-11-16
PR-00799,Nicole,Barker,1964-12-22,61,F,Y,HH-01121,0,Year 12,Trades,Diesel Mechanic,72600.0,469,D,18:00-07:00 (strict),Y,0480312275,cf6bfebf4f55ef3e,2016-10-06
PR-00800,Carla,Armstrong,1964-07-05,62,F,N,HH-01056,16,Year 10,Mining,Process Plant Technician,130106.0,590,C,20:00-06:00,Y,0432617447,091ab1fe2583b5e0,2023-05-09
PR-00801,Maria,Byrd,1980-10-14,45,F,Y,HH-00881,25,Certificate IV,Government,Civic Harmony Auditor,77881.0,375,D,18:00-07:00 (strict),N,0433138191,fb9ef5feeaca29ba,2017-01-31
PR-00802,Alejandro,Deleon,1984-08-19,41,M,N,HH-00057,5,No formal,Pastoral,Stockman,46083.0,484,D,18:00-07:00 (strict),Y,0430759612,8f27531090fb8d26,2011-06-24
PR-00803,Rhonda,Holland,2009-12-25,16,X,N,HH-01012,12,Diploma,Student,Student,14514.0,726,B,21:00-06:00,N,0433822574,0014debe67a3760d,2011-06-22
PR-00804,Johnny,Trujillo,1989-04-24,37,X,N,HH-00916,2,Year 10,Education,Indigenous Education Worker,81033.0,653,C,20:00-06:00,Y,0426144121,2aeae1d01f5cf044,2024-11-21
PR-00805,Maria,Coleman,1953-02-19,73,F,Y,HH-00785,5,Postgraduate,Retired,Retired,22899.0,555,C,20:00-06:00,N,0491000851,0dd09341a0771c4c,2016-03-26
PR-00806,David,Owens,1975-09-03,50,M,N,HH-01021,7,Bachelor,Unemployed,Unemployed,29568.0,816,B,21:00-06:00,N,0499752076,5942fa14caff01b4,2022-11-22
PR-00807,Randy,Garcia,1979-06-09,47,X,N,HH-00268,19,No formal,Health,GP,80787.0,535,C,20:00-06:00,Y,0464262173,bb0d8bc5f6d4b8d1,2020-08-16
PR-00808,Sarah,Brooks,1984-01-09,42,F,Y,HH-00369,11,Year 10,Education,Indigenous Education Worker,65437.0,558,C,20:00-06:00,Y,0499055153,a7b2154975e8f2c7,2019-11-18
PR-00809,Elizabeth,Rodriguez,2009-10-08,16,F,N,HH-00334,8,Diploma,Student,Student,14740.0,593,C,20:00-06:00,N,0447924770,da870af5e414cf98,2025-03-10
PR-00810,Margaret,Hensley,1982-05-03,44,F,N,HH-00269,15,Certificate III,Pastoral,Bore Runner,73966.0,635,C,20:00-06:00,Y,0475829144,ae26b6921db63ba5,2021-04-22
PR-00811,Stephanie,Evans,1976-11-03,49,F,Y,HH-00403,0,Certificate III,Trades,Plumber,87395.0,728,B,21:00-06:00,Y,0448546517,00ac37d6edd5513b,2022-01-25
PR-00812,Stephanie,Trujillo,1991-10-12,34,F,N,HH-00127,15,Year 12,Pastoral,Station Hand,46070.0,381,D,18:00-07:00 (strict),N,0486675220,6d52c70b6b722487,2019-10-02
PR-00813,Donna,Becker,1984-04-13,42,X,N,HH-01126,14,Year 10,Retail,Bottleshop Attendant,56923.0,604,C,20:00-06:00,N,0461660590,75261b0f2aa8c798,2020-07-12
PR-00814,Zachary,Green,1953-01-19,73,M,N,HH-00633,8,Bachelor,Retired,Retired,20031.0,883,A,22:00-06:00 (advisory only),N,0468224195,74fbe80751c2a141,2016-10-15
PR-00815,Austin,Erickson,2009-10-09,16,X,N,HH-00556,16,Diploma,Student,Student,12427.0,755,B,21:00-06:00,Y,0438788785,1cb64324f4f6b53a,2014-01-05
PR-00816,Molly,Walker,1985-11-18,40,F,N,HH-00905,12,Year 10,Unemployed,Unemployed,31053.0,511,C,20:00-06:00,Y,0437747762,eb407fc929443eaf,2022-05-05
PR-00817,Rebecca,Powers,2009-08-11,16,X,N,HH-01064,16,Postgraduate,Student,Student,23293.0,784,B,21:00-06:00,Y,0425613685,b54061b9391559ad,2023-03-10
PR-00818,Sara,Walter,1988-07-07,38,F,N,HH-00847,19,No formal,Trades,Plumber,45171.0,770,B,21:00-06:00,N,0440651547,bd31445023ce5443,2012-09-20
PR-00819,Bethany,Green,1982-12-18,43,F,Y,HH-00061,12,Bachelor,Government,Compliance Inspector,88647.0,434,D,18:00-07:00 (strict),Y,0486576546,ce0a830e35a18018,2022-01-12
PR-00820,Catherine,Frazier,1990-03-27,36,F,N,HH-00490,6,Certificate III,Trades,Plumber,98335.0,659,C,20:00-06:00,Y,0465517801,4133eb06ba204594,2012-08-08
PR-00821,Henry,Garner,1985-02-18,41,M,N,HH-00113,21,Year 12,Pastoral,Bore Runner,49911.0,672,C,20:00-06:00,Y,0463078880,f986fdd60e81e1be,2022-05-21
PR-00822,Erin,Green,1968-07-23,57,F,N,HH-00090,14,Year 10,Mining,Mine Geologist,133972.0,775,B,21:00-06:00,Y,0431330395,90fc4bca74b97297,2023-04-09
PR-00823,John,Delacruz,1990-06-05,36,M,Y,HH-00357,20,Postgraduate,Unemployed,Unemployed,23454.0,364,D,18:00-07:00 (strict),N,0463446108,97dbb35b3f4c01e5,2024-07-28
PR-00824,Andrea,Preston,1968-10-13,57,F,Y,HH-00070,2,Certificate III,Government,Council Officer,94680.0,789,B,21:00-06:00,N,0437128906,0c3e7f4ae4196cea,2023-07-01
PR-00825,Jane,Evans,2009-09-23,16,F,N,HH-00379,7,Year 10,Student,Student,15511.0,725,B,21:00-06:00,N,0472942341,8bbbc06d8b613cea,2023-04-24
PR-00826,Chad,Gonzalez,1988-05-15,38,M,Y,HH-00798,24,Diploma,Health,Remote Area Nurse,21290.0,388,D,18:00-07:00 (strict),N,0442447383,7923111e0965e289,2019-04-29
PR-00827,Terry,Ellis,2009-08-23,16,M,N,HH-00047,0,Certificate III,Student,Student,17943.0,662,C,20:00-06:00,N,0498969812,9968007b8f301e8a,2021-05-16
PR-00828,Kimberly,Freeman,2006-03-31,20,X,N,HH-00516,10,Certificate IV,Retail,Supermarket Worker,45826.0,737,B,21:00-06:00,N,0455814884,54cf209b5fc0b078,2013-10-30
PR-00829,Madison,Smith,1980-04-13,46,F,N,HH-00958,2,Certificate III,Pastoral,Station Hand,44816.0,727,B,21:00-06:00,Y,0449165484,a5f1f5633fda5d0d,2022-01-03
PR-00830,Gary,Duran,1968-06-12,58,X,Y,HH-00583,30,Year 10,Government,Surveillance Operator,92402.0,749,B,21:00-06:00,Y,0442987512,eb40176bdcaf330d,2022-01-16
PR-00831,Christopher,Mendez,1993-10-11,32,X,Y,HH-00806,19,Year 10,Hospitality,Caravan Park Host,69176.0,459,D,18:00-07:00 (strict),Y,0465019090,4d44c28a57a65d13,2016-12-31
PR-00832,Tammy,Reyes,2004-10-05,21,X,Y,HH-00520,0,Certificate III,Retail,Hardware Store Clerk,40021.0,417,D,18:00-07:00 (strict),Y,0423930806,301c3cb9d2a5ba10,2014-02-22
PR-00833,Jake,Smith,2005-07-02,21,M,N,HH-00311,21,Diploma,Hospitality,Cook,17662.0,855,A,22:00-06:00 (advisory only),Y,0440134305,908a00e6f5f72e1d,2023-01-07
PR-00834,Cheryl,Rhodes,2007-09-20,18,F,N,HH-00910,14,Postgraduate,Mining,Mine Safety Officer,116094.0,752,B,21:00-06:00,Y,0447912273,7d6bf887aeace125,2014-11-02
PR-00835,Heather,Cooper,1989-12-23,36,X,N,HH-00117,10,Certificate III,Retail,Bottleshop Attendant,51158.0,633,C,20:00-06:00,Y,0495456101,d3ba68a2508b2356,2016-09-21
PR-00836,Kevin,Jackson,1986-11-07,39,M,N,HH-00328,8,Bachelor,Mining,Process Plant Technician,155931.0,697,C,20:00-06:00,Y,0448502168,0aed0ab4e2e85e17,2015-07-12
PR-00837,Earl,Luna,1976-12-26,49,M,N,HH-00007,15,Diploma,Unemployed,Unemployed,26935.0,497,D,18:00-07:00 (strict),Y,0450246214,f71100790f527801,2016-01-31
PR-00838,Stephen,Cowan,2010-06-13,16,M,N,HH-00583,13,No formal,Student,Student,12703.0,689,C,20:00-06:00,Y,0494087394,40185bc50f29725a,2023-12-21
PR-00839,Heather,Lopez,2001-03-22,25,F,N,HH-00665,8,Certificate III,Education,Principal,72240.0,585,C,20:00-06:00,Y,0462135917,b1a296b832046c00,2024-03-16
PR-00840,Jamie,Perez,1977-01-07,49,M,N,HH-00094,16,Diploma,Trades,Electrician,95153.0,702,B,21:00-06:00,Y,0439119785,348da04a40949a19,2013-03-10
PR-00841,Nicholas,Lawrence,2000-09-18,25,M,Y,HH-00735,0,Year 12,Trades,Welder,49981.0,600,C,20:00-06:00,N,0464788762,05cdab026398ed14,2016-06-26
PR-00842,Marie,Johnson,1984-08-15,41,F,Y,HH-00127,7,Certificate IV,Education,Indigenous Education Worker,78286.0,423,D,18:00-07:00 (strict),Y,0493697650,8eeb270148d5c91b,2014-12-07
PR-00843,Joseph,Williams,2010-06-08,16,M,Y,HH-00693,16,Certificate IV,Student,Student,14495.0,582,C,20:00-06:00,N,0467953043,2c46d1ed783b8953,2020-08-14
PR-00844,Matthew,Smith,1954-12-04,71,M,Y,HH-00837,17,Year 12,Retired,Retired,23968.0,397,D,18:00-07:00 (strict),N,0485613436,05cc19d680d2731e,2017-03-09
PR-00845,James,Kelley,1992-08-14,33,M,N,HH-00691,3,Year 12,Public Safety,Correctional Officer,103152.0,842,B,21:00-06:00,Y,0442977091,e13ec7b2b7ce9998,2013-06-30
PR-00846,Michael,Mccoy,1988-11-02,37,M,Y,HH-00287,0,Diploma,Trades,Diesel Mechanic,82097.0,538,C,20:00-06:00,Y,0421509178,2902b76768b775cd,2020-08-13
PR-00847,Mary,Nelson,1981-07-07,45,F,N,HH-00119,4,Bachelor,Unemployed,Unemployed,14804.0,568,C,20:00-06:00,Y,0457874974,cb3fa862edb0b852,2013-04-10
PR-00848,Ronald,Garcia,1978-04-26,48,M,N,HH-00443,35,Year 12,Government,Council Officer,76319.0,576,C,20:00-06:00,N,0488309134,bb785dfb26ac6b10,2012-12-31
PR-00849,Brian,Rodriguez,1988-11-08,37,M,N,HH-00623,7,Year 10,Mining,Haul Truck Driver,99544.0,582,C,20:00-06:00,Y,0430403362,5411aee16965e1e1,2014-02-24
PR-00850,Dennis,Mills,1983-12-11,42,M,Y,HH-00833,11,Certificate IV,Health,Pharmacist,118577.0,620,C,20:00-06:00,Y,0447746670,fb32ee5694acffd8,2021-03-14
PR-00851,Edward,Williams,1983-05-14,43,M,N,HH-00717,6,Year 10,Mining,Mine Safety Officer,103485.0,674,C,20:00-06:00,Y,0461130128,a399964368f1421d,2014-04-05
PR-00852,Timothy,Rivera,1966-01-02,60,M,N,HH-00863,16,Postgraduate,Public Safety,Fire & Rescue,83054.0,807,B,21:00-06:00,Y,0434405301,764743cd9197ebd4,2020-10-03
PR-00853,Terry,Conley,1981-07-01,45,M,N,HH-00278,17,Bachelor,Unemployed,Unemployed,17506.0,543,C,20:00-06:00,N,0459656286,971234e625d14100,2013-06-10
PR-00854,Ann,Hunt,1998-04-08,28,F,Y,HH-00359,20,Year 10,Health,GP,59971.0,439,D,18:00-07:00 (strict),N,0499778757,0d3a60eda494ce7f,2012-10-08
PR-00855,David,Hall,1977-08-22,48,M,N,HH-01035,2,Year 12,Retail,Supermarket Worker,47058.0,670,C,20:00-06:00,N,0476404207,26edfec03f521e71,2015-07-01
PR-00856,Julie,Garcia,1975-08-29,50,F,N,HH-00708,2,Year 12,Health,GP,86464.0,592,C,20:00-06:00,Y,0478910441,55326d7902349402,2011-11-27
PR-00857,Donna,Solis,1995-10-15,30,F,N,HH-00961,18,Postgraduate,Mining,Haul Truck Driver,102693.0,585,C,20:00-06:00,Y,0442051720,dd31a598816f149b,2021-09-10
PR-00858,Anna,Chang,1985-02-26,41,F,N,HH-00092,27,Year 12,Education,Primary Teacher,89399.0,583,C,20:00-06:00,N,0498139894,e1277b9ef0db2fe0,2023-04-13
PR-00859,Matthew,Jackson,1956-08-14,69,M,Y,HH-00099,13,Bachelor,Retired,Retired,28043.0,505,C,20:00-06:00,N,0411433160,87f6a00aa3245543,2017-06-25
PR-00860,Christy,Johns,1972-07-04,54,X,Y,HH-00693,2,Year 10,Education,Principal,85746.0,535,C,20:00-06:00,Y,0460350701,3c10b821a8b8f7a8,2022-10-05
PR-00861,Catherine,Morales,1968-01-09,58,F,N,HH-00702,13,Certificate III,Unemployed,Unemployed,27706.0,616,C,20:00-06:00,Y,0456471424,89d86084b4ec5f29,2015-02-27
PR-00862,Janice,Jefferson,1992-09-29,33,F,Y,HH-00509,1,Postgraduate,Mining,Mine Safety Officer,116854.0,526,C,20:00-06:00,Y,0499418882,7e71436cab480ba7,2020-06-08
PR-00863,Rebecca,Wilson,1971-10-27,54,F,N,HH-01118,10,Bachelor,Mining,Mine Geologist,158864.0,617,C,20:00-06:00,Y,0419987762,80d341f4a1aa8362,2012-03-04
PR-00864,Tommy,Moore,1997-12-28,28,M,Y,HH-00949,7,Bachelor,Pastoral,Station Hand,50684.0,630,C,20:00-06:00,Y,0411804855,75ee1f66423d6a6e,2019-08-16
PR-00865,Rebekah,Gregory,1960-09-03,65,F,Y,HH-00533,1,Certificate IV,Student,Student,15000.0,676,C,20:00-06:00,Y,0499246477,4c9471d79453aaea,2016-09-01
PR-00866,Heather,Johnson,1991-08-30,34,F,Y,HH-00902,11,Year 12,Pastoral,Station Hand,64773.0,652,C,20:00-06:00,Y,0422292455,74379257ac0eed8b,2023-02-03
PR-00867,Valerie,Anderson,2009-11-25,16,F,N,HH-00554,4,Year 12,Student,Student,14979.0,606,C,20:00-06:00,N,0461928966,b608e68220e2f964,2012-12-07
PR-00868,Jennifer,Williams,1989-08-23,36,F,N,HH-00542,6,Diploma,Education,Secondary Teacher,80512.0,739,B,21:00-06:00,Y,0434973205,0589ac83017b5b8e,2015-10-02
PR-00869,Michael,Gregory,1970-02-17,56,M,N,HH-00002,6,Certificate III,Trades,Diesel Mechanic,94868.0,594,C,20:00-06:00,Y,0420678134,caae7c9ecb1ca936,2019-06-05
PR-00870,Karl,Levine,2010-03-25,16,M,Y,HH-00565,8,Diploma,Student,Student,13208.0,505,C,20:00-06:00,N,0420170987,43b24268a1855ed4,2016-02-02
PR-00871,Joseph,Haynes,2008-03-31,18,M,N,HH-00528,2,Year 12,Retail,Supermarket Worker,42072.0,742,B,21:00-06:00,N,0489498261,5bf610b0071b9c76,2020-08-13
PR-00872,Danielle,Reed,1985-09-06,40,F,N,HH-00251,15,Certificate III,Trades,Electrician,99316.0,795,B,21:00-06:00,Y,0442315695,ec126e028ca4375c,2016-09-27
PR-00873,Mary,Grant,1996-07-04,30,X,N,HH-00629,3,Year 12,Student,Student,17747.0,664,C,20:00-06:00,Y,0418270439,58f2ce93851eb3b3,2012-02-12
PR-00874,Maria,Moore,1981-11-01,44,F,N,HH-01025,25,Diploma,Retail,Bottleshop Attendant,62691.0,538,C,20:00-06:00,Y,0469851981,4d1f9b9a2667a920,2023-04-12
PR-00875,Sheila,Jones,1962-08-05,63,F,Y,HH-00445,0,Diploma,Unemployed,Unemployed,24126.0,604,C,20:00-06:00,N,0418842104,cefea6bc88d204c2,2014-09-22
PR-00876,Tara,Williams,1963-03-04,63,X,N,HH-00626,2,Diploma,Government,Compliance Inspector,88695.0,768,B,21:00-06:00,Y,0477067918,71bcae61709373d8,2020-05-11
PR-00877,Jennifer,Young,1979-11-04,46,F,Y,HH-00531,22,Year 10,Pastoral,Stockman,43610.0,679,C,20:00-06:00,Y,0472403836,6748e2b5a517db90,2022-07-27
PR-00878,Jerome,Gates,1990-01-24,36,M,N,HH-00950,18,Certificate III,Indigenous Services,Native Title Officer,61720.0,823,B,21:00-06:00,N,0470690090,118534c18f50bc03,2013-01-05
PR-00879,Jonathan,Valdez,2010-04-23,16,M,N,HH-00119,2,Certificate III,Student,Student,6848.0,513,C,20:00-06:00,Y,0428714249,079906fe13fe908f,2017-02-15
PR-00880,Kristin,Smith,1979-12-29,46,F,N,HH-00889,7,Year 12,Trades,Builder,77031.0,799,B,21:00-06:00,Y,0498821543,6b08c03de934a73e,2019-10-24
PR-00881,Manuel,Torres,1990-04-23,36,M,N,HH-00075,14,Year 10,Pastoral,Station Hand,67471.0,697,C,20:00-06:00,Y,0446358251,8e7c22f1a38815ce,2014-04-01
PR-00882,Megan,Clements,2010-03-25,16,F,Y,HH-00480,14,Bachelor,Student,Student,19942.0,352,D,18:00-07:00 (strict),N,0447268182,287be37d5e7390c1,2012-02-11
PR-00883,Daniel,Gibson,1963-04-10,63,M,N,HH-00145,18,Certificate III,Retail,Hardware Store Clerk,44456.0,880,A,22:00-06:00 (advisory only),N,0475409954,e099f53abe20c7d8,2020-01-11
PR-00884,Kara,Sandoval,1999-01-08,27,F,N,HH-00874,3,Diploma,Mining,Haul Truck Driver,122879.0,594,C,20:00-06:00,Y,0428988828,640603f346120fd2,2012-12-13
PR-00885,Peter,Walker,1992-10-16,33,M,N,HH-01084,11,Certificate III,Public Safety,St John Ambulance Volunteer,101872.0,818,B,21:00-06:00,N,0494759650,5d1d6d891bab63c0,2022-12-21
PR-00886,Vincent,Carter,1994-01-16,32,M,N,HH-00090,8,Certificate IV,Retail,Hardware Store Clerk,36430.0,747,B,21:00-06:00,N,0481086637,f8d77e551ebf88fd,2021-03-07
PR-00887,Amber,Martin,1977-01-19,49,F,N,HH-00316,3,Year 12,Public Safety,Correctional Officer,85988.0,766,B,21:00-06:00,N,0418472493,6b421a173e5da8f7,2021-05-22
PR-00888,Mikayla,Rodriguez,1972-11-27,53,F,N,HH-01111,0,Diploma,Government,Compliance Inspector,81372.0,669,C,20:00-06:00,N,0451948011,387c5405fbccc2d0,2013-12-23
PR-00889,Timothy,Long,2010-02-11,16,M,N,HH-00588,0,Diploma,Student,Student,14453.0,742,B,21:00-06:00,N,0453195660,cabdd18a555b2669,2022-04-17
PR-00890,Jennifer,Rodriguez,1978-03-17,48,X,N,HH-00302,10,Certificate III,Trades,Electrician,71825.0,603,C,20:00-06:00,Y,0412603460,5e03451aceb6ad3b,2024-04-28
PR-00891,Sara,Chapman,1994-10-20,31,F,N,HH-00287,0,Certificate IV,Health,GP,86992.0,731,B,21:00-06:00,Y,0475892915,94075ca690d3f28b,2017-08-29
PR-00892,Matthew,Blanchard,1982-09-06,43,M,N,HH-00711,15,Year 10,Unemployed,Unemployed,28867.0,490,D,18:00-07:00 (strict),Y,0435928411,50eac9e0bc1f9d40,2018-05-03
PR-00893,Kerry,Williams,2001-07-07,24,F,Y,HH-01012,13,Year 12,Mining,Mine Geologist,153046.0,576,C,20:00-06:00,Y,0457804163,39bd65091fd3fdc6,2023-02-04
PR-00894,Timothy,Romero,1988-11-04,37,X,N,HH-00242,4,Certificate III,Public Safety,Fire & Rescue,94883.0,700,B,21:00-06:00,Y,0481982332,dae0b74eff21d84b,2013-11-01
PR-00895,Kenneth,Cross,1986-08-14,39,M,Y,HH-00469,10,Diploma,Trades,Plumber,82425.0,692,C,20:00-06:00,Y,0436164817,f2f2c1cbc284ae3a,2016-10-10
PR-00896,Caroline,Andrade,1983-10-26,42,X,Y,HH-00032,10,Year 12,Education,Primary Teacher,63658.0,570,C,20:00-06:00,Y,0449742322,c604896f77e1bf07,2016-09-26
PR-00897,Veronica,Moon,1977-06-28,49,F,N,HH-00869,14,Year 12,Public Safety,Regional Police Officer,88221.0,701,B,21:00-06:00,Y,0429812515,a3fc0a6f6627ecc7,2015-03-08
PR-00898,Victor,Waller,1994-08-22,31,M,N,HH-01078,19,Diploma,Mining,Mine Safety Officer,106757.0,762,B,21:00-06:00,Y,0446715535,f13c9ec8d0fcd0ac,2013-03-21
PR-00899,Jason,Graves,1984-02-20,42,M,Y,HH-00242,16,Year 10,Government,Civic Harmony Auditor,74141.0,733,B,21:00-06:00,N,0426631582,453bf55635e4c686,2015-07-16
PR-00900,Meredith,Valencia,1968-01-29,58,F,N,HH-00052,14,Bachelor,Health,Aboriginal Health Worker,101979.0,737,B,21:00-06:00,Y,0413417889,0c7ebe8b4917aac7,2024-06-13
PR-00901,Mark,Harris,1992-08-12,33,M,N,HH-00274,9,Bachelor,Mining,Process Plant Technician,74806.0,672,C,20:00-06:00,Y,0447971392,eda806ca9d394af1,2015-06-03
PR-00902,Haley,Chambers,1995-09-22,30,F,N,HH-00389,20,Year 10,Mining,Process Plant Technician,175524.0,783,B,21:00-06:00,Y,0427698856,debeb36ca0d45a66,2020-06-14
PR-00903,Tyler,Gordon,2003-06-04,23,M,N,HH-00331,1,Certificate III,Mining,FIFO Drill Operator,120096.0,709,B,21:00-06:00,N,0441542991,60e8c7c65f4f0371,2015-11-13
PR-00904,Ashley,Bell,1972-01-11,54,F,N,HH-00815,20,Year 12,Government,Surveillance Operator,79839.0,947,A,22:00-06:00 (advisory only),Y,0463762236,ddf6ac527de82616,2019-05-05
PR-00905,Elizabeth,Butler,1987-06-09,39,X,N,HH-00346,22,Diploma,Trades,Builder,107468.0,702,B,21:00-06:00,Y,0422008959,950b8a5b80d45831,2023-02-18
PR-00906,Dustin,Boone,2009-11-17,16,M,Y,HH-00415,11,Year 12,Student,Student,16287.0,684,C,20:00-06:00,Y,0484851157,12fb0e0f966777b2,2018-09-02
PR-00907,Allison,Thomas,1985-06-14,41,F,N,HH-00836,0,Year 10,Retail,Hardware Store Clerk,57950.0,584,C,20:00-06:00,Y,0441227854,634198ac539e7d9e,2014-02-25
PR-00908,Paul,Martin,1988-04-30,38,M,N,HH-01071,13,Year 10,Government,Surveillance Operator,75363.0,853,A,22:00-06:00 (advisory only),Y,0476065625,cd999de4cff82242,2014-11-11
PR-00909,Sara,Vaughn,1956-08-09,69,F,N,HH-00871,19,Certificate IV,Retired,Retired,38545.0,729,B,21:00-06:00,Y,0489143988,6223e072f4b74514,2021-11-26
PR-00910,Amanda,Cervantes,2009-03-20,17,F,Y,HH-00512,3,Diploma,Student,Student,23186.0,482,D,18:00-07:00 (strict),N,0459407992,38ee27a57dd00a1f,2023-07-04
PR-00911,Jodi,Hancock,1992-04-15,34,X,N,HH-00449,9,Postgraduate,Mining,FIFO Drill Operator,135277.0,607,C,20:00-06:00,Y,0447771170,2ef0e557c6194919,2019-03-18
PR-00912,Cynthia,Mueller,2009-09-23,16,F,N,HH-00683,4,Year 12,Student,Student,13887.0,766,B,21:00-06:00,Y,0491553176,c18b8bd5eba612de,2015-05-19
PR-00913,Mary,House,1994-01-18,32,F,Y,HH-00636,13,Certificate III,Health,Aboriginal Health Worker,124419.0,519,C,20:00-06:00,Y,0497430584,98957537c0bc6457,2024-09-29
PR-00914,Theresa,Edwards,1970-12-19,55,X,Y,HH-00672,0,Diploma,Health,Remote Area Nurse,62274.0,338,D,18:00-07:00 (strict),N,0436862689,d520e30752456dcc,2011-07-15
PR-00915,John,Oliver,1978-02-10,48,X,N,HH-00399,13,Bachelor,Trades,Welder,73967.0,742,B,21:00-06:00,Y,0417297089,755527713ef92ec4,2023-07-14
PR-00916,Ronald,Pruitt,1981-09-24,44,M,N,HH-00758,8,Certificate III,Indigenous Services,Land Council Liaison,57272.0,427,D,18:00-07:00 (strict),Y,0439047877,93dfa5bd48505697,2020-06-02
PR-00917,Paul,Payne,1992-01-20,34,M,Y,HH-01088,34,Certificate III,Health,Aboriginal Health Worker,78851.0,603,C,20:00-06:00,Y,0432180457,0b6c94594500aefb,2022-03-21
PR-00918,Vincent,Phillips,1979-11-09,46,M,N,HH-00421,23,Year 10,Government,Regional Admin Field Officer,82991.0,611,C,20:00-06:00,Y,0410036337,5fa87d325f36d737,2020-11-28
PR-00919,Chelsea,Thompson,1981-08-28,44,F,Y,HH-00676,5,Year 12,Government,Council Officer,62625.0,529,C,20:00-06:00,Y,0486250555,efbe3b8cfc77e0ee,2016-08-19
PR-00920,Jeffrey,Hawkins,2010-05-16,16,M,Y,HH-00109,11,No formal,Student,Student,15280.0,473,D,18:00-07:00 (strict),N,0460039183,375935cd90832594,2019-07-12
